 time            v(vin)          v(vout)        
 4.50280000e-04  7.53073433e-01  4.55969405e-01 
 4.51280000e-04  7.53013582e-01  4.57507834e-01 
 4.52280000e-04  7.52953612e-01  4.59062183e-01 
 4.53280000e-04  7.52893526e-01  4.60632462e-01 
 4.54280000e-04  7.52833325e-01  4.62218674e-01 
 4.55280000e-04  7.52773012e-01  4.63820818e-01 
 4.56280000e-04  7.52712590e-01  4.65438883e-01 
 4.57280000e-04  7.52652061e-01  4.67072854e-01 
 4.58280000e-04  7.52591427e-01  4.68722710e-01 
 4.59280000e-04  7.52530691e-01  4.70388423e-01 
 4.60280000e-04  7.52469855e-01  4.72069958e-01 
 4.61280000e-04  7.52408921e-01  4.73767275e-01 
 4.62280000e-04  7.52347892e-01  4.75480326e-01 
 4.63280000e-04  7.52286771e-01  4.77209058e-01 
 4.64280000e-04  7.52225559e-01  4.78953412e-01 
 4.65280000e-04  7.52164260e-01  4.80713323e-01 
 4.66280000e-04  7.52102875e-01  4.82488718e-01 
 4.67280000e-04  7.52041407e-01  4.84279521e-01 
 4.68280000e-04  7.51979858e-01  4.86085648e-01 
 4.69280000e-04  7.51918231e-01  4.87907010e-01 
 4.70280000e-04  7.51856529e-01  4.89743513e-01 
 4.71280000e-04  7.51794753e-01  4.91595057e-01 
